Player,Squad,league_name,Pos_clean,role_group,Age,Min,starter_label,age_sq,Gls_per90,Ast_per90,G+A_per90,Sh_per90,SoT_per90,Fls_per90,Fld_per90,Off_per90,Crs_per90,Int_per90,TklW_per90,CrdY_per90,CrdR_per90,starter_probability
Tammy Abraham,Aston Villa,Premier League,FW,FW,28.0,198,0,784.0,0.45454545454545453,0.0,0.45454545454545453,2.727272727272727,0.9090909090909091,0.45454545454545453,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.34339819191634674
Ragnar Ache,Köln,Bundesliga,FW,FW,27.0,1436,1,729.0,0.3125,0.1875,0.5,2.6875,1.0,0.875,1.625,0.5625,0.0625,0.1875,0.4375,0.125,0.0,0.9197345539452799
Akor Adams,Sevilla,La Liga,FW,FW,26.0,1519,1,676.0,0.4142011834319527,0.1775147928994083,0.591715976331361,2.958579881656805,1.5384615384615385,1.3609467455621302,0.4733727810650888,2.0710059171597637,0.7692307692307693,0.0,0.1183431952662722,0.0591715976331361,0.0,0.7845292685126332
Che Adams,Torino,Serie A,FW,FW,29.0,1539,1,841.0,0.23391812865497075,0.11695906432748537,0.3508771929824561,2.573099415204678,0.7602339181286549,0.8187134502923976,0.8187134502923976,0.4678362573099415,0.6432748538011696,0.05847953216374269,0.4093567251461988,0.0,0.0,0.781111525012497
Junior Adamu,Freiburg,Bundesliga,FW,FW,24.0,446,1,576.0,0.2,0.2,0.4,1.6,0.6,2.0,1.8,1.2,0.4,1.0,1.2,0.2,0.0,0.6092361145292001
Ludovic Ajorque,Brest,Ligue 1,FW,FW,32.0,2190,1,1024.0,0.28806584362139914,0.28806584362139914,0.5761316872427983,1.7695473251028806,0.6172839506172839,2.05761316872428,1.934156378600823,0.37037037037037035,0.3292181069958848,0.37037037037037035,0.49382716049382713,0.37037037037037035,0.0411522633744856,0.7425782259957937
Alexandre Alemão,Rayo Vallecano,La Liga,FW,FW,27.0,708,0,729.0,0.12658227848101264,0.0,0.12658227848101264,1.7721518987341771,0.7594936708860759,1.6455696202531644,2.0253164556962022,0.0,0.37974683544303794,0.12658227848101264,0.12658227848101264,0.12658227848101264,0.0,0.6550044813466303
Julián Álvarez,Atlético Madrid,La Liga,FW,FW,26.0,1805,1,676.0,0.3980099502487562,0.14925373134328357,0.5472636815920398,2.4378109452736316,1.243781094527363,0.6467661691542288,0.8955223880597014,0.09950248756218905,4.278606965174129,0.09950248756218905,0.5472636815920398,0.09950248756218905,0.0,0.857960277067627
Youssef El-Arabi,Nantes,Ligue 1,FW,FW,39.0,917,1,1521.0,0.29411764705882354,0.0,0.29411764705882354,1.4705882352941178,0.8823529411764707,2.058823529411765,2.1568627450980395,0.8823529411764707,0.19607843137254904,0.3921568627450981,0.8823529411764707,0.0,0.0,0.6169104174430844
Jeremy Arévalo,Stuttgart,Bundesliga,FW,FW,20.0,29,0,400.0,0.0,0.0,0.0,10.0,3.3333333333333335,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.07766478426252182
Tolu Arokodare,Wolves,Premier League,FW,FW,25.0,1244,0,625.0,0.21739130434782608,0.07246376811594203,0.2898550724637681,2.753623188405797,0.9420289855072463,1.2318840579710144,0.9420289855072463,0.43478260869565216,0.0,0.36231884057971014,0.21739130434782608,0.07246376811594203,0.0,0.5540109289791239
Joel Asoro,Metz,Ligue 1,FW,FW,26.0,227,0,676.0,0.0,0.0,0.0,1.6,0.4,0.8,0.4,0.8,0.4,0.0,0.0,0.0,0.0,0.15837216797092576
Pierre-Emerick Aubameyang,Marseille,Ligue 1,FW,FW,36.0,1488,1,1296.0,0.48484848484848486,0.30303030303030304,0.7878787878787878,2.242424242424242,1.2727272727272727,0.9090909090909091,0.8484848484848485,0.36363636363636365,1.2727272727272727,0.36363636363636365,0.30303030303030304,0.06060606060606061,0.0,0.8187699360049298
Ezequiel Ávila,Real Betis,La Liga,FW,FW,32.0,319,0,1024.0,0.2857142857142857,0.0,0.2857142857142857,2.0,0.5714285714285714,1.4285714285714286,2.0,0.5714285714285714,2.857142857142857,0.8571428571428571,0.2857142857142857,0.8571428571428571,0.0,0.26131531663346214
Taiwo Awoniyi,Nottingham Forest,Premier League,FW,FW,28.0,258,0,784.0,0.3448275862068966,0.0,0.3448275862068966,3.103448275862069,1.3793103448275863,2.0689655172413794,1.0344827586206897,1.0344827586206897,0.3448275862068966,0.3448275862068966,0.3448275862068966,0.0,0.0,0.3201759346720959
