role_group,rows,positive_rate,accuracy,f1,roc_auc
DF,561,0.8841354723707665,0.8938053097345132,0.9423076923076923,0.8776923076923078
DF/MF,208,0.8269230769230769,0.8095238095238095,0.8947368421052632,0.7591836734693878
MF,743,0.6783310901749664,0.7583892617449665,0.8363636363636363,0.8391089108910892
FW/MF,311,0.6881028938906752,0.746031746031746,0.8333333333333334,0.7011627906976744
FW,291,0.47079037800687284,0.6610169491525424,0.6153846153846154,0.8156682027649769
