Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Pos_clean,role_group,Player_clean,nation_code,nation_name,league_code,league_name,starts_ratio,minutes_per_appearance,Saves_per90,GA_per90_check
1234,Filip Jørgensen,dk DEN,GK,Chelsea,eng Premier League,23.0,2002.0,3,2,264,2.9,0,0,0,0,0,0,0,0,0.0,4.0,1.36,10.0,6.0,60.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,88,9.8,90.0,2,1,84.0,21,1.33,6,4,2,0.68,0.09,0,0,0,0,0,0,0,1,0,0,GK,GK,filip jrgensen,dk,DEN,eng,Premier League,0.6666666666666666,88.0,2.0689655172413794,1.3793103448275863
1252,Bingourou Kamara,sn SEN,GK,Lorient,fr Ligue 1,29.0,1996.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,8.0,2.67,16.0,8.0,50.0,1.0,0.0,2.0,1.0,33.3,1.0,0.0,0.0,1.0,0,0,,0.0,0.0,,,90,11.5,90.0,3,0,,23,1.0,5,8,-3,-1.0,-1.0,0,0,0,0,1,0,0,0,0,0,GK,GK,bingourou kamara,sn,SEN,fr,Ligue 1,1.0,90.0,2.6666666666666665,2.6666666666666665
1282,Caoimhín Kelleher,ie IRL,GK,Brentford,eng Premier League,27.0,1998.0,29,29,2610,29.0,0,0,0,0,0,0,1,0,0.0,39.0,1.34,105.0,73.0,66.7,12.0,6.0,11.0,7.0,24.1,7.0,4.0,3.0,0.0,0,0,,0.0,0.0,,,90,96.7,90.0,29,0,,0,1.45,42,39,3,0.1,-0.9,1,0,0,2,6,0,0,1,0,0,GK,GK,caoimhin kelleher,ie,IRL,eng,Premier League,1.0,90.0,2.5172413793103448,1.3448275862068966
1307,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,28.0,1997.0,26,26,2340,26.0,0,0,0,0,0,0,2,0,0.0,26.0,1.0,89.0,66.0,74.2,17.0,7.0,2.0,12.0,46.2,3.0,3.0,0.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,26,0,,0,2.23,55,26,29,1.12,,2,0,0,0,5,0,0,0,0,0,GK,GK,gregor kobel,ch,SUI,de,Bundesliga,1.0,90.0,2.5384615384615383,1.0
1310,Hervé Koffi,bf BFA,GK,Angers,fr Ligue 1,29.0,1996.0,23,23,2070,23.0,0,0,0,0,0,0,1,0,0.0,26.0,1.13,108.0,85.0,77.8,9.0,5.0,9.0,9.0,39.1,5.0,2.0,2.0,1.0,0,0,,0.0,0.0,,,90,88.5,90.0,23,0,,0,1.39,21,26,-5,-0.22,1.12,1,0,0,1,9,0,0,0,1,0,GK,GK,herve koffi,bf,BFA,fr,Ligue 1,1.0,90.0,3.6956521739130435,1.1304347826086956
1313,Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,27.0,1998.0,19,17,1621,18.0,0,0,0,0,0,0,1,0,0.0,27.0,1.5,73.0,48.0,65.8,9.0,4.0,4.0,5.0,29.4,2.0,2.0,0.0,0.0,0,0,,0.0,0.0,,,85,69.3,90.0,17,2,46.0,7,1.79,36,27,9,0.5,0.62,1,0,0,0,3,0,0,1,0,0,GK,GK,philipp kohn,ch,SUI,fr,Ligue 1,0.8947368421052632,85.3157894736842,2.6666666666666665,1.5
1351,Vladyslav Krapyvtsov,ua UKR,GK,Girona,es La Liga,20.0,2005.0,2,1,136,1.5,0,0,0,0,0,0,0,0,0.0,6.0,3.97,9.0,4.0,44.4,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,,0.0,0.0,,,68,5.4,90.0,1,1,46.0,17,0.0,1,5,-4,-2.65,-2.35,0,0,0,0,1,0,0,0,0,0,GK,GK,vladyslav krapyvtsov,ua,UKR,es,La Liga,0.5,68.0,2.6666666666666665,4.0
1380,Senne Lammens,be BEL,GK,Manchester Utd,eng Premier League,23.0,2002.0,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.0,30.0,1.25,81.0,54.0,66.7,13.0,8.0,3.0,5.0,20.8,3.0,3.0,0.0,0.0,0,0,,0.0,0.0,,,90,80.0,90.0,24,0,,3,1.96,47,30,17,0.71,1.37,0,0,0,0,2,0,0,0,1,0,GK,GK,senne lammens,be,BEL,eng,Premier League,1.0,90.0,2.25,1.25
1399,Nicola Leali,it ITA,GK,Genoa,it Serie A,33.0,1993.0,20,20,1712,19.0,0,0,0,0,0,0,2,1,0.0,26.0,1.37,79.0,55.0,69.6,4.0,8.0,8.0,4.0,20.0,2.0,2.0,0.0,0.0,0,0,,0.0,0.0,,,86,65.6,86.0,19,0,,8,1.0,21,25,-4,-0.21,-0.21,2,1,0,2,2,0,0,1,0,0,GK,GK,nicola leali,it,ITA,it,Serie A,1.0,85.6,2.8947368421052633,1.368421052631579
1415,Bernd Leno,de GER,GK,Fulham,eng Premier League,34.0,1992.0,30,30,2700,30.0,0,0,0,0,0,0,3,0,0.0,43.0,1.43,113.0,73.0,64.6,12.0,5.0,13.0,6.0,20.0,4.0,3.0,0.0,1.0,0,0,,0.0,0.0,,,90,100.0,90.0,30,0,,0,1.37,40,43,-3,-0.1,,3,0,0,0,4,0,0,1,1,1,GK,GK,bernd leno,de,GER,eng,Premier League,1.0,90.0,2.433333333333333,1.4333333333333333
